Fon Kodu,Değerleme Tarihi,Birim Pay Fiyatı,Para Birimi,Toplam Fon Değeri,Pay Adedi,Günlük Getiri (%),Yilbasindan %,Son 1 Aylık Getiri (%),Son 3 Aylık Getiri (%),Son 6 Aylık Getiri (%),Son 1 Yıllık Getiri (%)
GSP,17.09.2026,"0,571239",TL,"4.279.615.691,39 TL",7.491.810.292,3.6054,37.5591,1.6389,0.4256,12.1235,47.6955
GTF,17.09.2026,"15,207594",TL,"156.452.048,57 TL",10.287.758,-0.1117,19.3881,2.6793,6.6354,14.6582,35.7064
HGT,17.09.2026,"96,486296",TL,"3.416.903.340,59 TL",35.413.354,-0.0553,15.4748,1.2438,5.6697,12.3619,23.7976
HIZ,17.09.2026,"2,094838",TL,"205.096.770,41 TL",97.905.786,2.4626,36.8986,1.0293,2.0676,15.7551,52.423
HJA,17.09.2026,"16,190924",TL,"1.222.706.538,55 TL",75.518.023,-6.8804,-16.6885,-41.3812,-26.6061,-16.7971,-5.7956
HMT,17.09.2026,"7,176215",TL,"612.454.644,81 TL",85.345.075,-0.1945,12.9514,0.3204,3.1606,9.641,19.2148
HPJ,17.09.2026,"3,841979",TL,"35.246.535,16 TL",9.174.058,3.9228,6.4413,-1.3088,-1.19,1.9619,16.3284
HUI,17.09.2026,"98,442441",TL,"2.323.207.737,95 TL",23.599.656,4.2073,20.268,10.2891,3.3584,20.1911,27.33
HYP,17.09.2026,"10,972460",TL,"576.319.860,77 TL",52.524.215,0.1159,33.7392,3.2998,10.5232,31.5306,44.6075
IBG,17.09.2026,"1,671381",TL,"557.813.703,66 TL",333.744.116,-1.7067,28.9409,2.4128,9.3902,20.1945,43.5813
IBJ,17.09.2026,"65,664882",TL,"821.651.069,69 TL",12.512.793,0.0668,15.9847,1.1988,5.3063,11.8123,25.862
IBR,17.09.2026,"0,313771",TL,"2.248.806.999,34 TL",7.167.043.197,-0.0083,33.6367,3.6256,12.6561,20.6,49.2265
IDI,17.09.2026,"1,621161",TL,"52.090.629,02 TL",32.131.672,-3.1148,40.6909,-0.4403,6.533,17.8628,38.8514
IGJ,17.09.2026,"1.665,358235",TL,"1.594.352.356,41 TL",957.363,0.0002,10.2213,0.0165,10.1416,9.9952,50.5716
IJF,17.09.2026,"9,400197",TL,"868.718.051,11 TL",92.414.874,3.432,9.062,-1.2501,-3.6175,0.1364,7.3708
